Scientific name | Common name | Brief descriptor
Oxudercinae | Mudskippers | Amphibious gobies using fins to move on land
Gobius niger | Black goby | Bottom-dwelling coastal fish with fused pelvic suction disc
Solea solea | Common sole | Flatfish lying on one side with both eyes migrated upward
Hippoglossus hippoglossus | Atlantic halibut | Giant predatory flatfish
Paralichthys dentatus | Summer flounder | Left-eyed ambush flatfish of Atlantic coasts
Octopus vulgaris | Common octopus | Intelligent camouflage-changing mollusk with eight flexible arms
Enteroctopus dofleini | Giant Pacific octopus | Largest octopus and powerful den predator
Hapalochlaena lunulata | Greater blue-ringed octopus | Tiny venomous octopus with brilliant warning rings
Vampyroteuthis infernalis | Vampire squid | Deep-sea cephalopod using glowing arm tips and mucus
Architeuthis dux | Giant squid | Enormous deep-ocean squid with long feeding tentacles
Mesonychoteuthis hamiltoni | Colossal squid | Heavy Antarctic squid with rotating tentacle hooks
Sepia officinalis | Common cuttlefish | Color-shifting cephalopod with internal cuttlebone
Nautilus pompilius | Chambered nautilus | Shelled cephalopod controlling buoyancy with gas chambers
Spirula spirula | Ram's horn squid | Small deep-water cephalopod with coiled internal shell
Aplysia californica | California sea hare | Large grazing sea slug used in neuroscience
Glaucus atlanticus | Blue dragon | Floating nudibranch that stores stinging cells from prey
Chromodoris lochi | Loch's chromodoris | Brightly colored tropical nudibranch with chemical defenses
Elysia chlorotica | Eastern emerald elysia | Sea slug retaining functional chloroplasts from algae
Limax maximus | Leopard slug | Large spotted land slug with aerial mating behavior
Cornu aspersum | Garden snail | Familiar land snail with coiled shell and rasping radula
Achatina fulica | Giant African land snail | Huge invasive terrestrial snail
Haliotis rufescens | Red abalone | Large ear-shaped marine snail with iridescent shell
Conus geographus | Geography cone | Predatory snail firing a venomous harpoon tooth
Cypraea tigris | Tiger cowrie | Glossy-shelled tropical marine snail
Littorina littorea | Common periwinkle | Intertidal grazing snail tolerant of exposure
Patella vulgata | Common limpet | Cone-shelled mollusk clinging tightly to wave-swept rocks
Pomacea canaliculata | Golden apple snail | Large freshwater snail and invasive crop pest
Lymnaea stagnalis | Great pond snail | Air-breathing freshwater snail used in neurobiology
Pinctada margaritifera | Black-lip pearl oyster | Tropical bivalve producing dark cultured pearls
Crassostrea gigas | Pacific oyster | Reef-forming filter feeder widely farmed
Mytilus edulis | Blue mussel | Byssus-attached coastal bivalve forming dense beds
Tridacna gigas | Giant clam | Largest bivalve and host to photosynthetic symbionts
Pecten maximus | Great scallop | Swimming bivalve with rows of simple eyes
Ensis leei | Atlantic jackknife clam | Long narrow burrowing clam
Teredo navalis | Naval shipworm | Wood-boring bivalve with wormlike body
Dentalium elephantinum | Elephant tusk shell | Scaphopod mollusk living buried in seafloor sediment
Chaetoderma nitidulum | Shiny chaetoderma | Shell-less wormlike mollusk covered in spicules
Lepidochitona cinerea | Common chiton | Eight-plated grazing mollusk clinging to rocks
Katharina tunicata | Black katy chiton | Large leathery chiton of Pacific shores
Doryteuthis pealeii | Longfin inshore squid | Fast color-changing squid common on Atlantic coasts
Loligo vulgaris | European squid | Schooling coastal squid with rapid jet propulsion
Todarodes pacificus | Japanese flying squid | Migratory squid capable of gliding above water
Argonauta argo | Greater argonaut | Pelagic octopus whose female makes a paper-thin eggcase
Ancyloceras vancouverense | Ancyloceras ammonite | Extinct heteromorph ammonite with uncoiled shell
Homarus americanus | American lobster | Large clawed crustacean with indeterminate growth
Panulirus argus | Caribbean spiny lobster | Clawless reef lobster with long antennae
Procambarus clarkii | Red swamp crayfish | Burrowing freshwater crustacean and global invader
Callinectes sapidus | Blue crab | Swimming crab with paddle-shaped rear legs
Carcinus maenas | European green crab | Aggressive invasive shore crab
Macrocheira kaempferi | Japanese spider crab | Arthropod with the greatest leg span
Birgus latro | Coconut crab | Largest terrestrial arthropod and powerful climber
Pagurus bernhardus | Common hermit crab | Crab protecting soft abdomen in borrowed shells
Limulus polyphemus | Atlantic horseshoe crab | Ancient marine chelicerate with blue blood
Triops cancriformis | Tadpole shrimp | Temporary-pool crustacean with ancient body plan
Daphnia magna | Water flea | Transparent freshwater planktonic crustacean
Artemia salina | Brine shrimp | Salt-tolerant crustacean whose dormant cysts survive drying
Euphausia superba | Antarctic krill | Swarming crustacean supporting Southern Ocean food webs
Ligia oceanica | Sea slater | Shore-dwelling isopod transitional between land and sea
Armadillidium vulgare | Common pill bug | Terrestrial crustacean that rolls into a ball
Bathynomus giganteus | Giant isopod | Huge deep-sea scavenger related to pill bugs
Cymothoa exigua | Tongue-eating louse | Parasitic isopod replacing a fish's tongue
Squilla mantis | Mantis shrimp | Spearing crustacean with fast raptorial strikes
Odontodactylus scyllarus | Peacock mantis shrimp | Colorful smashers with exceptional vision
Balanus glandula | Acorn barnacle | Sessile crustacean cemented to wave-washed surfaces
Lepas anatifera | Goose barnacle | Stalked filter feeder attached to floating objects
Copepoda | Copepods | Tiny abundant crustaceans central to aquatic food webs
Calanus finmarchicus | North Atlantic copepod | Lipid-rich plankton sustaining fish and whales
Penaeus monodon | Giant tiger prawn | Large striped shrimp widely farmed
Lysmata amboinensis | Cleaner shrimp | Reef shrimp removing parasites from fish clients
Alpheus heterochaelis | Bigclaw snapping shrimp | Shrimp producing cavitation shock waves with one claw
Stenopus hispidus | Banded coral shrimp | Long-antennaed reef cleaner with red-and-white bands
Palaemon serratus | Common prawn | Transparent coastal shrimp with toothed rostrum
Nebalia bipes | Common nebalia | Leaflike crustacean representing an ancient malacostracan branch
Peripatus juliformis | Velvet worm | Soft-bodied terrestrial predator firing sticky slime
Euperipatoides rowelli | Australian velvet worm | Social onychophoran hunting with adhesive jets
Tardigrada | Tardigrades | Microscopic eight-legged animals surviving extreme dormancy
Hypsibius exemplaris | Model water bear | Laboratory tardigrade capable of cryptobiosis
Milnesium tardigradum | Milnesium water bear | Predatory tardigrade with robust claws
Lumbricus terrestris | Common earthworm | Soil-mixing segmented worm and ecosystem engineer
Eisenia fetida | Red wiggler | Composting earthworm thriving in organic waste
Hirudo medicinalis | Medicinal leech | Blood-feeding annelid producing anticoagulant hirudin
Riftia pachyptila | Giant tube worm | Vent annelid nourished by chemosynthetic bacteria
Arenicola marina | Lugworm | Burrowing marine worm leaving coiled sand casts
Nereis diversicolor | Ragworm | Active predatory polychaete of estuaries
Aphrodita aculeata | Sea mouse | Iridescent bristled marine annelid
Tomopteris helgolandica | Tomopteris | Transparent planktonic worm producing yellow bioluminescence
Osedax rubiplumus | Bone-eating worm | Whale-fall annelid dissolving bones without a mouth
Siboglinum fiordicum | Beard worm | Gutless tube worm relying on bacterial symbionts
Chaetopterus variopedatus | Parchment tube worm | Filter-feeding annelid that makes a mucus net
Bonellia viridis | Green spoon worm | Marine worm with extreme environmentally determined sexual dimorphism
Sipunculus nudus | Peanut worm | Unsegmented burrower with retractable introvert
Priapulus caudatus | Priapulid worm | Burrowing marine predator with toothed eversible throat
Caenorhabditis elegans | C. elegans | Tiny nematode with completely mapped cell lineage
Ascaris lumbricoides | Giant intestinal roundworm | Human parasite with complex migratory larvae
Trichinella spiralis | Trichina worm | Parasite encysting in mammalian muscle
Ancylostoma duodenale | Old World hookworm | Blood-feeding intestinal nematode
Wuchereria bancrofti | Filarial worm | Mosquito-borne nematode causing lymphatic disease
Enterobius vermicularis | Pinworm | Common human intestinal parasite
Meloidogyne incognita | Root-knot nematode | Plant parasite inducing nutrient-rich root galls
Romanomermis culicivorax | Mosquito mermithid | Nematode parasitizing mosquito larvae
Dugesia tigrina | Tiger planarian | Flatworm famous for whole-body regeneration
Schmidtea mediterranea | Mediterranean planarian | Regenerative flatworm rich in adult stem cells
Taenia solium | Pork tapeworm | Segmented parasite cycling between pigs and humans
Echinococcus granulosus | Hydatid tapeworm | Tiny tapeworm forming large cysts in intermediate hosts
Schistosoma mansoni | Blood fluke | Dioecious parasitic flatworm living in blood vessels
Fasciola hepatica | Liver fluke | Leaf-shaped parasite of livestock and humans
Bipalium kewense | Hammerhead worm | Predatory land planarian with broad crescent head
Macrostomum lignano | Free-living flatworm | Transparent model flatworm with rapid regeneration
Rotaria rotatoria | Bdelloid rotifer | Microscopic animal reproducing without known males
Brachionus plicatilis | Brackish-water rotifer | Tiny wheel-bearing filter feeder used in aquaculture
Acanthocephalus lucii | Thorny-headed worm | Intestinal parasite anchoring with hooked proboscis
Gordius aquaticus | Horsehair worm | Long parasite manipulating insect hosts toward water
Bugula neritina | Brown bryozoan | Colonial filter feeder forming branching marine tufts
Membranipora membranacea | Lacy crust bryozoan | Colonial animal encrusting kelp blades
Phoronopsis viridis | Green phoronid | Tube-dwelling lophophorate with horseshoe feeding crown
Lingula anatina | Lamp shell | Burrowing brachiopod with ancient shell form
Terebratulina retusa | Northern lamp shell | Stalk-attached brachiopod filtering seawater
Strongylocentrotus purpuratus | Purple sea urchin | Kelp-grazing echinoderm with movable spines
Diadema antillarum | Long-spined sea urchin | Reef grazer with exceptionally long black spines
Echinus esculentus | European edible sea urchin | Large round urchin of rocky seabeds
Clypeaster subdepressus | Sand dollar | Flattened burrowing urchin adapted to sandy bottoms
Asterias rubens | Common starfish | Five-armed predator that everts its stomach
Pisaster ochraceus | Ochre sea star | Intertidal keystone predator controlling mussels
Crown-of-thorns starfish | Crown-of-thorns starfish | Coral-eating sea star capable of reef outbreaks
Ophiothrix fragilis | Common brittle star | Fast-moving echinoderm with flexible arms
Gorgonocephalus eucnemis | Basket star | Deep-water brittle star with repeatedly branching arms
Holothuria atra | Black sea cucumber | Sediment-feeding echinoderm recycling reef nutrients
Parastichopus californicus | Giant red sea cucumber | Large Pacific detritivore with soft leathery body
Crinoidea | Feather stars | Echinoderms with feathery suspension-feeding arms
Antedon bifida | Rosy feather star | Free-moving crinoid gripping surfaces with cirri
Balanoglossus clavigerus | Acorn worm | Burrowing hemichordate with proboscis collar and trunk
Rhabdopleura compacta | Pterobranch | Tiny colonial hemichordate living in tubes
Branchiostoma lanceolatum | European lancelet | Fishlike chordate lacking skull and vertebrae
Ciona intestinalis | Vase tunicate | Sessile filter feeder with free-swimming chordate larva
Salpa fusiformis | Common salp | Transparent jet-propelled tunicate forming chains
Pyrosoma atlanticum | Pyrosome | Bioluminescent colonial tunicate forming hollow tubes
Oikopleura dioica | Larvacean | Planktonic tunicate filtering water through disposable mucus houses
Botryllus schlosseri | Golden star tunicate | Colonial tunicate capable of vascular fusion
Hydra vulgaris | Freshwater hydra | Tiny cnidarian with remarkable regenerative ability
Aurelia aurita | Moon jelly | Translucent jellyfish with four horseshoe-shaped gonads
Cyanea capillata | Lion's mane jellyfish | Giant cold-water jelly with very long tentacles
Chironex fleckeri | Australian box jelly | Fast-swimming jellyfish with extremely potent venom
Turritopsis dohrnii | Immortal jellyfish | Jellyfish capable of reverting to a juvenile stage
Physalia physalis | Portuguese man o' war | Floating siphonophore colony with long stinging tentacles
Velella velella | By-the-wind sailor | Surface-drifting colonial cnidarian with sail
Nanomia bijuga | Deep-sea siphonophore | Colonial predator coordinating specialized zooids
Nematostella vectensis | Starlet sea anemone | Small estuarine anemone and developmental model
Actinia equina | Beadlet anemone | Intertidal anemone that retracts into a red blob
Stichodactyla gigantea | Giant carpet anemone | Large reef anemone hosting clownfish
Acropora cervicornis | Staghorn coral | Fast-growing branching Caribbean reef coral
Acropora palmata | Elkhorn coral | Broad-branched Caribbean reef builder
Orbicella faveolata | Mountainous star coral | Massive long-lived Caribbean reef coral
Fungia fungites | Mushroom coral | Solitary free-living disk-shaped coral
Tubastraea coccinea | Orange cup coral | Nonphotosynthetic coral forming bright orange colonies
Corallium rubrum | Precious red coral | Slow-growing coral used historically in jewelry
Gorgonia ventalina | Common sea fan | Flexible branching soft coral filtering currents
Pennatula phosphorea | Sea pen | Colonial cnidarian resembling a feather planted in sediment
Renilla reniformis | Sea pansy | Bioluminescent colonial soft coral
Metridium senile | Plumose anemone | Feathery cold-water anemone forming dense clones
Mnemiopsis leidyi | Sea walnut | Comb jelly and voracious invasive plankton predator
Pleurobrachia pileus | Sea gooseberry | Spherical comb jelly with long sticky tentacles
Beroe cucumis | Beroe comb jelly | Tentacleless comb jelly swallowing other ctenophores
Euplokamis dunlapae | Euplokamis comb jelly | Ctenophore with rapidly coiling tentilla
Spongia officinalis | Bath sponge | Fibrous marine sponge traditionally harvested for cleaning
Euplectella aspergillum | Venus' flower basket | Glass sponge with intricate silica skeleton
Xestospongia muta | Giant barrel sponge | Massive long-lived reef sponge filtering huge water volumes
Cliona celata | Boring sponge | Sponge excavating limestone and shells
Oscarella carmela | Homoscleromorph sponge | Thin encrusting sponge with simple body organization
Trichoplax adhaerens | Trichoplax | Tiny flat animal with no organs or neurons
Hoilungia hongkongensis | Hoilungia | Placozoan species with extremely simple crawling body
Monosiga brevicollis | Choanoflagellate | Single-celled collar flagellate close to animal ancestry
Salpingoeca rosetta | Rosette choanoflagellate | Microbe forming colonies in response to bacterial signals
Apis mellifera | Western honey bee | Eusocial pollinator communicating with waggle dances
Bombus terrestris | Buff-tailed bumblebee | Large fuzzy social pollinator capable of buzz pollination
Xylocopa virginica | Eastern carpenter bee | Solitary bee excavating nests in wood
Megachile rotundata | Alfalfa leafcutter bee | Solitary bee lining nests with cut leaf circles
Vespa mandarinia | Northern giant hornet | Largest hornet and predator of other social insects
Vespula vulgaris | Common wasp | Eusocial yellowjacket with annual colonies
Polistes dominula | European paper wasp | Social wasp building exposed paper combs
Solenopsis invicta | Red imported fire ant | Aggressive invasive ant with painful sting
Atta cephalotes | Leafcutter ant | Fungus-farming ant cutting and carrying leaves
Camponotus pennsylvanicus | Black carpenter ant | Large ant nesting in damp wood
Oecophylla smaragdina | Asian weaver ant | Arboreal ant stitching leaves with larval silk
Eciton burchellii | Army ant | Nomadic swarm-raiding ant with massive colonies
Myrmecia gulosa | Giant bull ant | Large Australian ant with excellent vision and sting
Formica rufa | Red wood ant | Mound-building forest ant spraying formic acid
Lasius niger | Black garden ant | Common aphid-tending ant of Europe
Danaus plexippus | Monarch butterfly | Long-distance migrant whose caterpillars eat milkweed
Papilio machaon | Old World swallowtail | Large butterfly with tailed hindwings
Morpho menelaus | Blue morpho | Rainforest butterfly with brilliant structural blue wings
Heliconius erato | Red postman | Toxic butterfly with mimicry and pollen feeding
Vanessa cardui | Painted lady | Cosmopolitan migratory butterfly
Pieris brassicae | Large white | Cabbage-feeding butterfly and agricultural pest
Biston betularia | Peppered moth | Classic example of industrial melanism
Actias luna | Luna moth | Large green silk moth with long hindwing tails
Attacus atlas | Atlas moth | Giant moth with snake-head wingtip patterns
Bombyx mori | Domestic silkworm | Fully domesticated moth producing commercial silk
Manduca sexta | Tobacco hornworm | Large sphinx moth model with hovering flight
Galleria mellonella | Greater wax moth | Beehive moth used as an infection model
Drosophila melanogaster | Common fruit fly | Foundational genetic model organism
Musca domestica | Housefly | Cosmopolitan filth-feeding fly with rapid reproduction
Anopheles gambiae | African malaria mosquito | Major vector of human malaria
Aedes aegypti | Yellow fever mosquito | Urban mosquito vectoring several viral diseases
Tipula paludosa | European crane fly | Long-legged fly with soil-dwelling larvae
Tabanus bovinus | Pale giant horsefly | Large blood-feeding fly with slicing mouthparts
Lucilia sericata | Common green bottle fly | Metallic carrion fly used in maggot therapy
Glossina morsitans | Tsetse fly | Blood-feeding fly transmitting African trypanosomes
Culex pipiens | Common house mosquito | Widespread mosquito and vector of several pathogens
Tenebrio molitor | Mealworm beetle | Darkling beetle larva widely used as feed
Dynastes hercules | Hercules beetle | Giant rhinoceros beetle with enormous male horn
Lucanus cervus | Stag beetle | Large beetle with antler-like male mandibles
Coccinella septempunctata | Seven-spot ladybird | Aphid-eating red beetle with black spots
Photinus pyralis | Common eastern firefly | Beetle using species-specific bioluminescent flashes
Scarabaeus sacer | Sacred scarab | Dung-rolling beetle revered in ancient Egypt
Goliathus goliatus | Goliath beetle | One of the heaviest adult insects
Bombardier beetles | Bombardier beetles | Beetles spraying a hot pulsed chemical defense
Agrilus planipennis | Emerald ash borer | Metallic invasive beetle killing ash trees
Leptinotarsa decemlineata | Colorado potato beetle | Striped crop pest rapidly evolving pesticide resistance
Gryllus campestris | Field cricket | Chirping ground insect using sound for courtship
Locusta migratoria | Migratory locust | Grasshopper switching into swarm-forming phase
Schistocerca gregaria | Desert locust | Long-distance agricultural pest forming vast swarms
Gryllotalpa gryllotalpa | European mole cricket | Burrowing cricket with shovel-like forelegs
Carausius morosus | Indian stick insect | Camouflaged twig-mimicking insect
Phyllium giganteum | Giant leaf insect | Broad flattened insect resembling a living leaf
Mantis religiosa | European mantis | Ambush predator with folded raptorial forelegs
Idolomantis diabolica | Devil's flower mantis | Ornate floral mimic and insect predator
Blatta orientalis | Oriental cockroach | Dark robust cockroach adapted to human structures
Periplaneta americana | American cockroach | Large fast-running cosmopolitan cockroach
Mastotermes darwiniensis | Giant northern termite | Primitive termite with cockroach-like traits
Macrotermes bellicosus | African mound-building termite | Fungus-growing termite constructing huge ventilated mounds
Forficula auricularia | European earwig | Pincer-tailed insect with maternal care
Libellula quadrimaculata | Four-spotted chaser | Fast aerial dragonfly with aquatic predatory nymph
Calopteryx splendens | Banded demoiselle | Metallic damselfly with fluttering courtship display
Ephemera danica | Green drake mayfly | Aquatic juvenile followed by brief winged adulthood
Perla marginata | Stonefly | Clean-stream insect with aquatic oxygen-sensitive nymph
Lepisma saccharinum | Silverfish | Wingless household insect feeding on starches
Thermobia domestica | Firebrat | Heat-loving wingless insect of warm buildings
Machilis germanica | Jumping bristletail | Primitive wingless insect able to leap
Pediculus humanus capitis | Head louse | Human-specific blood-feeding ectoparasite
Pulex irritans | Human flea | Laterally flattened jumping blood-feeding insect
Cimex lectularius | Bed bug | Nocturnal blood-feeding insect hiding in crevices
Frankliniella occidentalis | Western flower thrips | Tiny plant-feeding insect and crop virus vector
Acyrthosiphon pisum | Pea aphid | Sap-feeding insect reproducing clonally for many generations
Magicicada septendecim | Seventeen-year cicada | Periodical insect emerging synchronously after long underground development
Cicada orni | Ash cicada | Loud Mediterranean cicada producing sound with tymbals
Gerris lacustris | Common pond skater | True bug walking on water surface tension
Belostoma flumineum | Giant water bug | Aquatic predator whose males guard eggs
Triatoma infestans | Kissing bug | Blood-feeding assassin bug vectoring Chagas disease
Dactylopius coccus | Cochineal insect | Scale insect cultivated for crimson dye
Ixodes scapularis | Blacklegged tick | Hard tick transmitting Lyme disease pathogens
Dermacentor variabilis | American dog tick | Widespread hard tick parasitizing mammals
Sarcoptes scabiei | Itch mite | Burrowing skin parasite causing scabies
Dermatophagoides pteronyssinus | European house dust mite | Microscopic household mite feeding on shed skin
Tetranychus urticae | Two-spotted spider mite | Tiny plant pest spinning protective silk webs
Latrodectus mactans | Southern black widow | Glossy venomous spider with red hourglass
Loxosceles reclusa | Brown recluse | Secretive spider with medically significant venom
Araneus diadematus | Cross orb-weaver | Garden spider constructing circular capture webs
Argiope aurantia | Yellow garden spider | Large orb-weaver with zigzag web decoration
Nephila pilipes | Giant golden orb-weaver | Huge web-building spider producing golden silk
Phidippus audax | Bold jumping spider | Visually acute hunter capable of precise leaps
Portia fimbriata | Fringed jumping spider | Spider-eating strategist using flexible hunting tactics
Dolomedes triton | Six-spotted fishing spider | Semiaquatic spider running on water and catching fish
Theraphosa blondi | Goliath birdeater | One of the largest spiders by mass
Aphonopelma chalcodes | Desert blond tarantula | Long-lived burrowing desert spider
Damon diadema | Giant tailless whip scorpion | Flattened arachnid with long sensory legs
Mastigoproctus giganteus | Giant vinegaroon | Whip scorpion spraying acetic acid defense
Euscorpius italicus | Italian scorpion | Small European scorpion with grasping pincers
Androctonus australis | Fat-tailed scorpion | Desert scorpion with potent neurotoxic venom
Chelifer cancroides | House pseudoscorpion | Tiny tailless arachnid hunting mites indoors
Leiobunum vittatum | Eastern harvestman | Long-legged arachnid with fused body segments
Lithobius forficatus | Brown centipede | Fast venomous soil predator with one leg pair per segment
Scolopendra gigantea | Amazonian giant centipede | Huge venomous predator capable of catching vertebrates
Archispirostreptus gigas | Giant African millipede | Large detritivore with hundreds of legs
Narceus americanus | American giant millipede | Forest decomposer curling into a defensive coil
Scutigera coleoptrata | House centipede | Long-legged indoor predator of household arthropods
Sequoiadendron giganteum | Giant sequoia | Massive long-lived conifer and largest tree by volume
Sequoia sempervirens | Coast redwood | Tallest living tree species
Pinus longaeva | Great Basin bristlecone pine | Extremely long-lived high-elevation conifer
Pinus pinea | Stone pine | Mediterranean pine producing edible pine nuts
Pinus ponderosa | Ponderosa pine | Tall western North American pine with thick orange bark
Picea abies | Norway spruce | Conical evergreen widely used as a Christmas tree
Pseudotsuga menziesii | Douglas fir | Towering conifer important in western forests
Abies balsamea | Balsam fir | Fragrant boreal conifer used for Christmas trees
Larix decidua | European larch | Deciduous conifer that drops its needles each winter
Taxus baccata | European yew | Toxic long-lived conifer with red fleshy arils
Ginkgo biloba | Ginkgo | Ancient seed plant with fan-shaped leaves
Cycas revoluta | Sago palm | Cycad with palm-like crown and toxic seeds
Welwitschia mirabilis | Welwitschia | Namib Desert plant growing only two persistent leaves
Ephedra sinica | Chinese ephedra | Jointed gymnosperm producing stimulant alkaloids
Araucaria araucana | Monkey puzzle tree | Spiny South American conifer with ancient lineage
Wollemia nobilis | Wollemi pine | Rare Australian conifer discovered in 1994
Nymphaea alba | White water lily | Floating-leaved aquatic flowering plant
Nelumbo nucifera | Sacred lotus | Aquatic plant with self-cleaning leaves and long-lived seeds
Amborella trichopoda | Amborella | Sole living species of the earliest-diverging flowering-plant lineage
Magnolia grandiflora | Southern magnolia | Evergreen tree with huge fragrant flowers
Liriodendron tulipifera | Tulip tree | Tall tree with tulip-shaped flowers and distinctive leaves
Persea americana | Avocado | Tropical tree producing oil-rich fruits
Cinnamomum verum | True cinnamon | Evergreen tree whose inner bark yields cinnamon
Piper nigrum | Black pepper | Tropical vine producing peppercorn spice
Aristolochia gigantea | Giant Dutchman's pipe | Vine with enormous carrion-scented trap flowers
Piper methysticum | Kava | Pacific shrub used to make a ceremonial drink
Quercus robur | English oak | Long-lived broadleaf tree supporting rich wildlife
Quercus virginiana | Southern live oak | Spreading evergreen oak draped with epiphytes
Fagus grandifolia | American beech | Smooth-barked forest tree with edible nuts
Betula papyrifera | Paper birch | White-barked northern tree with peeling bark
Alnus glutinosa | Black alder | Wetland tree forming nitrogen-fixing root nodules
Corylus avellana | Common hazel | Shrub producing edible hazelnuts
Juglans regia | English walnut | Tree producing large edible nuts and valuable timber
Carya illinoinensis | Pecan | North American hickory producing rich edible nuts
Castanea dentata | American chestnut | Formerly dominant eastern tree devastated by blight
Ulmus americana | American elm | Vase-shaped city tree heavily affected by Dutch elm disease
Celtis occidentalis | Common hackberry | Hardy tree with berry-like fruits
Morus alba | White mulberry | Silkworm food tree with sweet aggregate fruits
Ficus carica | Common fig | Ancient cultivated tree with enclosed flower structures
Ficus benghalensis | Banyan | Fig tree spreading by pillar-like aerial roots
Urtica dioica | Stinging nettle | Herb armed with hollow irritating hairs
Cannabis sativa | Cannabis | Wind-pollinated plant cultivated for fiber seed and cannabinoids
Humulus lupulus | Common hop | Climbing plant whose cones flavor beer
Rosa canina | Dog rose | Thorny wild rose with vitamin-rich hips
Rosa chinensis | China rose | Major ancestor of modern repeat-flowering garden roses
Fragaria × ananassa | Garden strawberry | Hybrid crop producing fleshy aggregate fruits
Rubus idaeus | Red raspberry | Bramble producing hollow-centered aggregate berries
Malus domestica | Domestic apple | Cultivated fruit tree with thousands of varieties
Pyrus communis | European pear | Orchard tree producing sweet pomes
Prunus persica | Peach | Stone-fruit tree domesticated in China
Prunus avium | Sweet cherry | Tree producing edible red or dark drupes
Prunus dulcis | Almond | Tree cultivated for edible seeds inside hard pits
Prunus domestica | European plum | Orchard tree with diverse sweet stone fruits
Cydonia oblonga | Quince | Aromatic hard fruit used in preserves
Eriobotrya japonica | Loquat | Evergreen tree producing orange spring fruits
Vitis vinifera | Grapevine | Climbing vine source of wine grapes and raisins
Citrus sinensis | Sweet orange | Hybrid citrus tree producing familiar oranges
Citrus limon | Lemon | Acidic yellow citrus fruit crop
Citrus reticulata | Mandarin orange | Small easy-peeling citrus species
Theobroma cacao | Cacao | Tropical understory tree whose seeds make chocolate
Coffea arabica | Arabica coffee | Mountain shrub producing most high-quality coffee beans
Camellia sinensis | Tea plant | Evergreen shrub whose leaves make tea
Gossypium hirsutum | Upland cotton | Major fiber crop producing seed hairs
Linum usitatissimum | Flax | Fiber and oilseed crop used to make linen
Helianthus annuus | Common sunflower | Tall composite flower with seed-rich head
Taraxacum officinale | Common dandelion | Wind-dispersed rosette herb with milky latex
Bellis perennis | Common daisy | Low perennial with composite flower heads
Achillea millefolium | Common yarrow | Aromatic herb with finely divided leaves
Artemisia annua | Sweet wormwood | Herb producing antimalarial artemisinin
Lactuca sativa | Lettuce | Domesticated leafy vegetable
Cynara cardunculus | Artichoke | Thistle relative cultivated for immature flower heads
Cirsium vulgare | Spear thistle | Spiny purple-flowered biennial
Echinacea purpurea | Purple coneflower | Prairie perennial with prominent central cone
Solidago canadensis | Canada goldenrod | Tall yellow-flowered plant spreading by rhizomes
Dahlia pinnata | Garden dahlia | Tuberous ornamental with highly diverse flower forms
Tagetes erecta | African marigold | Bright yellow-orange ornamental and ceremonial flower
Chrysanthemum × morifolium | Florist's chrysanthemum | Cultivated autumn-flowering ornamental
Pisum sativum | Garden pea | Climbing legume central to Mendel's genetics
Phaseolus vulgaris | Common bean | Domesticated legume including kidney and green beans
Glycine max | Soybean | Protein-rich legume and major global crop
Arachis hypogaea | Peanut | Legume whose fertilized pods develop underground
Medicago sativa | Alfalfa | Deep-rooted forage legume and nitrogen fixer
Trifolium repens | White clover | Creeping lawn legume with clonal growth
Acacia dealbata | Silver wattle | Fast-growing Australian tree with yellow puffball flowers
Mimosa pudica | Sensitive plant | Herb folding its leaves rapidly when touched
Delonix regia | Royal poinciana | Tropical tree with brilliant red-orange flowers
Prosopis glandulosa | Honey mesquite | Drought-tolerant thorny tree with sweet pods
Caesalpinia pulcherrima | Peacock flower | Tropical shrub with flamboyant red and yellow blooms
Solanum lycopersicum | Tomato | Domesticated nightshade producing fleshy red fruits
Solanum tuberosum | Potato | Andean crop producing starch-rich underground tubers
Capsicum annuum | Chili pepper | Nightshade with fruits ranging from sweet to pungent
Nicotiana tabacum | Cultivated tobacco | Domesticated plant rich in nicotine
Atropa belladonna | Deadly nightshade | Toxic herb containing tropane alkaloids
Datura stramonium | Jimsonweed | Hallucinogenic toxic plant with spiny seed capsules
Petunia × atkinsiana | Garden petunia | Hybrid ornamental with trumpet-shaped flowers
Ipomoea batatas | Sweet potato | Tropical vine with edible storage roots
Ipomoea purpurea | Common morning glory | Twining vine with daily opening trumpet flowers
Olea europaea | Olive | Long-lived Mediterranean tree producing oil-rich fruits
Fraxinus americana | White ash | North American hardwood threatened by emerald ash borer
Syringa vulgaris | Common lilac | Fragrant spring-flowering shrub
Jasminum officinale | Common jasmine | Climbing shrub with intensely fragrant white flowers
Mentha spicata | Spearmint | Aromatic spreading herb rich in carvone
Ocimum basilicum | Basil | Culinary herb with fragrant leaves
Salvia officinalis | Common sage | Woody Mediterranean herb with aromatic gray leaves
Lavandula angustifolia | English lavender | Fragrant purple-flowered Mediterranean shrub
Rosmarinus officinalis | Rosemary | Needle-leaved aromatic herb of dry climates
Thymus vulgaris | Common thyme | Low woody herb with strongly aromatic leaves
Sesamum indicum | Sesame | Ancient oilseed crop with capsules that split open
Digitalis purpurea | Common foxglove | Tall toxic flower source of cardiac glycosides
Plantago major | Broadleaf plantain | Tough rosette weed thriving on compacted soil
Antirrhinum majus | Snapdragon | Ornamental whose flowers open like a mouth when squeezed
Penstemon digitalis | Foxglove beardtongue | Native North American tubular-flowered perennial
Aloe vera | Aloe vera | Succulent medicinal plant storing gel in fleshy leaves
Agave tequilana | Blue agave | Rosette succulent used to produce tequila
